bank_txn_id,txn_date,value_date,description,reference,debit,credit
BANK-7036,2026-08-18,2026-08-18,ZENITH PAYMENT INV1036,NEFT-36,0,88500.0
BANK-7037,2026-08-08,2026-08-08,VERTEX PAYMENT INV1037,NEFT-37,0,29500.0
BANK-7038,2026-08-06,2026-08-06,GLOBAL PAYMENT INV1038,NEFT-38,0,29500.0
BANK-7039,2026-08-18,2026-08-18,ZENITH PAYMENT INV1039,NEFT-39,0,88500.0
BANK-7040,2026-08-04,2026-08-04,ZENITH PAYMENT INV1040,NEFT-40,0,88500.0
BANK-7041,2026-08-07,2026-08-07,MERIDIAN PAYMENT INV1041,NEFT-41,0,115640.0
BANK-7042,2026-08-20,2026-08-20,BHARAT PAYMENT INV1042,NEFT-42,0,115640.0
BANK-7043,2026-08-09,2026-08-09,MERIDIAN PAYMENT INV1043,NEFT-43,0,236000.0
BANK-7044,2026-08-14,2026-08-14,ORION PAYMENT INV1044,NEFT-44,0,115640.0
BANK-7045,2026-08-09,2026-08-09,APEX PAYMENT INV1045,NEFT-45,0,147500.0
BANK-7046,2026-08-07,2026-08-07,GLOBAL PAYMENT INV1046,NEFT-46,0,29500.0
BANK-7047,2026-08-20,2026-08-20,MERIDIAN PAYMENT INV1047,NEFT-47,0,53100.0
BANK-7048,2026-08-09,2026-08-09,ZENITH PAYMENT INV1048,NEFT-48,0,147500.0
BANK-7049,2026-08-06,2026-08-06,GLOBAL PAYMENT INV1049,NEFT-49,0,69384.0
BANK-7549,2026-08-07,2026-08-07,GLOBAL PAYMENT INV1049,NEFT-49B,0,46256.0
BANK-7050,2026-08-09,2026-08-09,VERTEX PAYMENT INV1050,NEFT-50,0,295000.0
BANK-7051,2026-08-24,2026-08-24,MERIDIAN PAYMENT INV1051,NEFT-51,0,29500.0
BANK-7052,2026-08-06,2026-08-06,BHARAT PAYMENT INV1052,NEFT-52,0,147500.0
BANK-7053,2026-08-21,2026-08-21,BHARAT PAYMENT INV1053,NEFT-53,0,88500.0
BANK-7054,2026-08-23,2026-08-23,VERTEX PAYMENT INV1054,NEFT-54,0,112749.0
BANK-7055,2026-08-25,2026-08-25,ORION PAYMENT INV1055,NEFT-55,0,147500.0
BANK-7056,2026-08-06,2026-08-06,VERTEX PAYMENT INV1056,NEFT-56,0,53100.0
BANK-7057,2026-08-05,2026-08-05,VERTEX PAYMENT INV1057,NEFT-57,0,28262.5
BANK-7058,2026-08-10,2026-08-10,VERTEX PAYMENT INV1058,NEFT-58,0,295000.0
BANK-7059,2026-08-02,2026-08-02,ZENITH PAYMENT INV1059,NEFT-59,0,53100.0
BANK-7060,2026-08-21,2026-08-21,NOVA PAYMENT INV1060,NEFT-60,0,29500.0
BANK-7660,2026-08-22,2026-08-22,NOVA PAYMENT INV1060,NEFT-60-DUP,0,29500.0
BANK-7061,2026-08-22,2026-08-22,MERIDIAN PAYMENT INV1061,NEFT-61,0,88500.0
BANK-7062,2026-08-05,2026-08-05,NOVA PAYMENT INV1062,NEFT-62,0,147500.0
BANK-7063,2026-08-14,2026-08-14,ACME PAYMENT INV1063,NEFT-63,0,115640.0
BANK-7064,2026-08-14,2026-08-14,BHARAT PAYMENT INV1064,NEFT-64,0,236000.0
BANK-7065,2026-08-10,2026-08-10,ORION PAYMENT INV1065,NEFT-65,0,88500.0
BANK-7066,2026-08-10,2026-08-10,ACME PAYMENT INV1066,NEFT-66,0,177000.0
BANK-7067,2026-08-10,2026-08-10,ORION PAYMENT INV1067,NEFT-67,0,88500.0
BANK-7068,2026-08-04,2026-08-04,APEX PAYMENT INV1068,NEFT-68,0,295000.0
BANK-7069,2026-08-18,2026-08-18,ORION PAYMENT INV1069,NEFT-69,0,177000.0
BANK-7070,2026-08-10,2026-08-10,ORION PAYMENT INV1070,NEFT-70,0,29500.0
BANK-7071,2026-08-12,2026-08-12,APEX PAYMENT INV1071,NEFT-71,0,147500.0
BANK-7072,2026-08-15,2026-08-15,VERTEX PAYMENT INV1072,NEFT-72,0,236000.0
BANK-7073,2026-08-06,2026-08-06,ACME PAYMENT INV1073,NEFT-73,0,147500.0
BANK-7074,2026-08-10,2026-08-10,MERIDIAN PAYMENT INV1074,NEFT-74,0,29500.0
BANK-7075,2026-08-17,2026-08-17,MERIDIAN PAYMENT INV1075,NEFT-75,0,177000.0
BANK-7076,2026-08-24,2026-08-24,APEX PAYMENT INV1076,NEFT-76,0,31860.0
BANK-7576,2026-08-25,2026-08-25,APEX PAYMENT INV1076,NEFT-76B,0,21240.0
BANK-7077,2026-08-08,2026-08-08,MERIDIAN PAYMENT INV1077,NEFT-77,0,147500.0
BANK-7078,2026-08-04,2026-08-04,APEX PAYMENT INV1078,NEFT-78,0,111749.0
BANK-7079,2026-08-12,2026-08-12,BHARAT PAYMENT INV1079,NEFT-79,0,106200.0
BANK-7579,2026-08-13,2026-08-13,BHARAT PAYMENT INV1079,NEFT-79B,0,70800.0
BANK-7080,2026-08-21,2026-08-21,VERTEX PAYMENT INV1080,NEFT-80,0,147500.0
BANK-7081,2026-08-15,2026-08-15,GLOBAL PAYMENT INV1081,NEFT-81,0,143812.5
BANK-7082,2026-08-16,2026-08-16,ORION PAYMENT INV1082,NEFT-82,0,236000.0
BANK-7083,2026-08-23,2026-08-23,MERIDIAN PAYMENT INV1083,NEFT-83,0,147500.0
BANK-7683,2026-08-24,2026-08-24,MERIDIAN PAYMENT INV1083,NEFT-83-DUP,0,147500.0
BANK-7084,2026-08-04,2026-08-04,ZENITH PAYMENT INV1084,NEFT-84,0,147500.0
BANK-7085,2026-08-18,2026-08-18,ORION PAYMENT INV1085,NEFT-85,0,177000.0
BANK-7086,2026-08-19,2026-08-19,BLUESKY PAYMENT INV1086,NEFT-86,0,108140.0
BANK-7087,2026-08-06,2026-08-06,NOVA PAYMENT INV1087,NEFT-87,0,147500.0
BANK-7687,2026-08-07,2026-08-07,NOVA PAYMENT INV1087,NEFT-87-DUP,0,147500.0
BANK-7088,2026-08-10,2026-08-10,BHARAT PAYMENT INV1088,NEFT-88,0,147500.0
BANK-7089,2026-08-06,2026-08-06,ORION PAYMENT INV1089,NEFT-89,0,27000.0
BANK-7090,2026-08-24,2026-08-24,BLUESKY PAYMENT INV1090,NEFT-90,0,53100.0
BANK-7091,2026-08-25,2026-08-25,APEX PAYMENT INV1091,NEFT-91,0,115640.0
BANK-7691,2026-08-26,2026-08-26,APEX PAYMENT INV1091,NEFT-91-DUP,0,115640.0
BANK-7092,2026-08-15,2026-08-15,BLUESKY PAYMENT INV1092,NEFT-92,0,112749.0
BANK-7093,2026-08-09,2026-08-09,ACME PAYMENT INV1093,NEFT-93,0,236000.0
BANK-7094,2026-08-17,2026-08-17,ZENITH PAYMENT INV1094,NEFT-94,0,28762.5
BANK-7095,2026-08-19,2026-08-19,BHARAT PAYMENT INV1095,NEFT-95,0,88500.0
BANK-7096,2026-08-22,2026-08-22,ZENITH PAYMENT INV1096,NEFT-96,0,177000.0
BANK-7097,2026-08-21,2026-08-21,MERIDIAN PAYMENT INV1097,NEFT-97,0,141600.0
BANK-7597,2026-08-22,2026-08-22,MERIDIAN PAYMENT INV1097,NEFT-97B,0,94400.0
BANK-7098,2026-08-21,2026-08-21,NOVA PAYMENT INV1098,NEFT-98,0,295000.0
BANK-7099,2026-08-19,2026-08-19,VERTEX PAYMENT INV1099,NEFT-99,0,295000.0
BANK-7100,2026-08-18,2026-08-18,VERTEX PAYMENT INV1100,NEFT-100,0,53100.0
BANK-7101,2026-08-12,2026-08-12,ORION PAYMENT INV1101,NEFT-101,0,177000.0
BANK-7102,2026-08-05,2026-08-05,ZENITH PAYMENT INV1102,NEFT-102,0,88500.0
BANK-7702,2026-08-06,2026-08-06,ZENITH PAYMENT INV1102,NEFT-102-DUP,0,88500.0
BANK-7103,2026-08-15,2026-08-15,ORION PAYMENT INV1103,NEFT-103,0,85787.5
BANK-7104,2026-08-18,2026-08-18,APEX PAYMENT INV1104,NEFT-104,0,177000.0
BANK-7105,2026-08-06,2026-08-06,APEX PAYMENT INV1105,NEFT-105,0,115640.0
BANK-7106,2026-08-25,2026-08-25,APEX PAYMENT INV1106,NEFT-106,0,29500.0
BANK-7107,2026-08-16,2026-08-16,ACME PAYMENT INV1107,NEFT-107,0,147500.0
BANK-7108,2026-08-22,2026-08-22,APEX PAYMENT INV1108,NEFT-108,0,115640.0
BANK-7109,2026-08-13,2026-08-13,ORION PAYMENT INV1109,NEFT-109,0,236000.0
BANK-7110,2026-08-17,2026-08-17,ACME PAYMENT INV1110,NEFT-110,0,172575.0
BANK-7111,2026-08-16,2026-08-16,NOVA PAYMENT INV1111,NEFT-111,0,88500.0
BANK-7112,2026-08-20,2026-08-20,APEX PAYMENT INV1112,NEFT-112,0,22000.0
BANK-7113,2026-08-07,2026-08-07,APEX PAYMENT INV1113,NEFT-113,0,295000.0
BANK-7114,2026-08-12,2026-08-12,ACME PAYMENT INV1114,NEFT-114,0,236000.0
BANK-7115,2026-08-18,2026-08-18,ORION PAYMENT INV1115,NEFT-115,0,177000.0
BANK-7116,2026-08-12,2026-08-12,APEX PAYMENT INV1116,NEFT-116,0,236000.0
BANK-7117,2026-08-17,2026-08-17,BHARAT PAYMENT INV1117,NEFT-117,0,28762.5
BANK-7118,2026-08-09,2026-08-09,GLOBAL PAYMENT INV1118,NEFT-118,0,53100.0
BANK-7119,2026-08-09,2026-08-09,ACME PAYMENT INV1119,NEFT-119,0,115640.0
BANK-7120,2026-08-11,2026-08-11,MERIDIAN PAYMENT INV1120,NEFT-120,0,115640.0
